bhk,type,area,price,status,age,latitude,longitude
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,453,0.85,1,0.0,19.2035136,72.9709495
1,0.2,650,1.0,1,0.0,19.00497627,72.85355377
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,650,0.2,1,0.0,19.141545,72.812724
2,0.2,920,1.1,1,0.0,19.022447,72.8635574
1,0.2,650,0.2,1,0.0,19.141545,72.812724
1,0.2,570,0.55,1,0.0,19.02778816,72.88011932
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,750,0.45,1,0.0,19.02627373,73.09680939
2,0.2,500,0.1,1,0.0,18.99777655,73.13132053
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,677,0.3,1,0.0,18.96904755,72.82118225
1,0.2,650,0.35,0,0.0,18.96904755,72.82118225
1,0.2,651,0.2,1,0.0,19.141545,72.812724
3,0.2,1015,2.45,0,1.0,19.1681064,72.9478388
3,0.2,1116,2.85,0,1.0,19.1681064,72.9478388
3,0.2,1116,2.85,0,1.0,19.1681064,72.9478388
3,0.2,1056,2.45,0,1.0,19.1681064,72.9478388
3,0.2,1056,2.45,0,1.0,19.1681064,72.9478388
3,0.2,1015,2.45,0,1.0,19.1681064,72.9478388
3,0.2,1015,2.45,0,1.0,19.1681064,72.9478388
3,0.2,1116,2.85,0,1.0,19.1681064,72.9478388
3,0.2,1056,2.45,0,1.0,19.1681064,72.9478388
3,0.2,1015,2.45,0,1.0,19.1681064,72.9478388
1,0.2,651,0.2,1,0.0,19.141545,72.812724
3,0.2,1076,3.19,0,1.0,19.0999426,72.8522093
3,0.2,1076,3.19,0,1.0,19.0999426,72.8522093
3,0.2,1076,3.19,0,1.0,19.0999426,72.8522093
2,0.2,718,2.12,0,1.0,19.0999426,72.8522093
3,0.2,1076,3.19,0,1.0,19.0999426,72.8522093
2,0.2,758,2.24,0,1.0,19.0999426,72.8522093
2,0.2,718,2.12,0,1.0,19.0999426,72.8522093
3,0.2,991,2.94,0,1.0,19.0999426,72.8522093
2,0.2,758,2.24,0,1.0,19.0999426,72.8522093
3,0.2,991,2.94,0,1.0,19.0999426,72.8522093
2,0.2,618,1.82,0,1.0,19.0999426,72.8522093
2,0.2,618,1.82,0,1.0,19.0999426,72.8522093
3,0.2,1033,3.06,0,1.0,19.0999426,72.8522093
3,0.2,1033,3.06,0,1.0,19.0999426,72.8522093
3,0.2,913,2.7,0,1.0,19.0999426,72.8522093
3,0.2,913,2.7,0,1.0,19.0999426,72.8522093
3,0.2,866,2.57,0,1.0,19.0999426,72.8522093
3,0.2,866,2.57,0,1.0,19.0999426,72.8522093
2,0.2,562,1.7,0,1.0,19.0999426,72.8522093
2,0.2,562,1.7,0,1.0,19.0999426,72.8522093
3,0.2,948,2.81,0,1.0,19.0999426,72.8522093
3,0.2,948,2.81,0,1.0,19.0999426,72.8522093
3,0.2,894,1.86,0,1.0,19.273245,72.868841
2,0.2,668,1.35,0,1.0,19.273245,72.868841
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,555,0.155,1,0.0,19.7970872,72.7333588
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,729,0.51,1,0.0,19.49290657,72.8639679
2,0.2,1020,1.1,1,0.0,19.29377078,72.85658761
2,0.2,1035,1.15,1,0.0,19.29377078,72.85658761
2,0.2,1070,0.89,1,0.0,19.269468,72.880541
2,0.2,1070,0.93,1,0.0,19.269468,72.880541
2,0.2,1050,0.83,1,0.0,19.269468,72.880541
2,0.2,1050,0.8,1,0.0,19.269468,72.880541
2,0.2,1021,1.11,1,0.0,19.29377078,72.85658761
2,0.2,1045,0.79,1,0.0,19.49290657,72.8639679
2,0.2,1039,0.8,1,0.0,19.49290657,72.8639679
2,0.2,1080,1.14,1,0.0,19.29377078,72.85658761
2,0.2,750,0.73,1,0.0,19.269468,72.880541
1,0.2,650,0.62,1,0.0,19.269468,72.880541
2,0.2,1050,0.79,1,0.0,19.269468,72.880541
2,0.2,1050,0.8,1,1.0,19.269468,72.880541
2,0.2,1020,0.85,1,0.0,19.269468,72.880541
2,0.2,785,0.93,1,0.0,19.2929077,72.8568725
2,0.2,765,0.91,1,0.0,19.2929077,72.8568725
1,0.2,850,1.15,1,0.0,19.2929077,72.8568725
2,0.2,850,1.11,1,0.0,19.2929077,72.8568725
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,620,0.6,1,0.0,19.269468,72.880541
2,0.2,856,1.18,1,0.0,19.2929077,72.8568725
2,0.2,750,0.7,1,0.0,19.269468,72.880541
2,0.2,768,0.9,1,0.0,19.2929077,72.8568725
2,0.2,856,1.19,1,0.0,19.2929077,72.8568725
1,0.2,756,0.73,1,0.0,19.2929077,72.8568725
2,0.2,850,1.05,1,0.0,19.2929077,72.8568725
1,0.2,675,0.74,1,0.0,19.2929077,72.8568725
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,650,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,600,0.336,1,0.0,18.985944,73.025541
1,0.2,520,0.215,1,0.0,19.20705465,72.9853378
1,0.2,650,0.2,1,0.0,19.141545,72.812724
1,0.2,685,0.36369999999999997,0,0.0,19.4405707,72.8239968
2,0.2,870,0.95,1,0.0,19.269468,72.880541
3,0.2,1665,1.99,1,0.0,19.29377078,72.85658761
2,0.2,1050,0.9,1,0.0,19.269468,72.880541
1,0.2,756,0.77,1,0.0,19.2929077,72.8568725
1,0.2,785,0.76,1,0.0,19.2929077,72.8568725
2,0.2,860,0.387,1,0.0,19.1629761,72.8326318
1,0.2,600,0.3,1,0.0,19.01831192,72.85234187
1,0.0,380,0.14,1,0.0,19.2192645,72.8358308
1,0.2,600,0.18,0,0.0,19.04285602,72.84660546
2,0.2,581,1.25,0,0.0,19.0882063,72.9175747
2,0.2,810,1.18,1,0.0,19.29377078,72.85658761
3,0.2,1200,1.85,1,0.0,19.29377078,72.85658761
2,0.2,856,0.79,1,0.0,19.269468,72.880541
2,0.2,856,0.8,1,0.0,19.269468,72.880541
1,0.2,629,0.55,1,0.0,19.49290657,72.8639679
1,0.2,620,0.56,1,0.0,19.49290657,72.8639679
2,0.2,850,0.78,1,0.0,19.49290657,72.8639679
2,0.2,850,0.79,1,0.0,19.49290657,72.8639679
2,0.2,1350,2.15,1,0.0,19.29377078,72.85658761
2,0.2,1070,0.95,1,0.0,19.269468,72.880541
2,0.2,789,0.98,1,0.0,19.2929077,72.8568725
1,0.2,659,0.59,1,0.0,19.269468,72.880541
